date,category,product,units_sold,revenue,product_price,promo_flag,is_holiday_season,category_popularity_30d
2020-05-27,Beauty,Face Serum,140,2827.42,20.2,0,0,0.9
2020-05-28,Electronics,Smart Speaker,11,1611.3,146.48,0,0,1.05
2020-05-28,Groceries,Organic Cereal,345,1638.43,4.75,0,0,1.05
2020-05-28,Clothing,Running Shoes,41,2507.18,61.15,0,0,0.76
2020-05-28,Books,Business Book,84,2063.46,24.56,0,0,1.02
2020-05-28,Furniture,Office Chair,9,997.7,110.86,0,0,0.92
2020-05-28,Toys,Building Blocks,33,1190.09,36.06,0,0,0.85
2020-05-28,Sports,Yoga Mat,49,2018.73,41.2,0,0,1.1
2020-05-28,Beauty,Face Serum,148,2986.62,20.18,0,0,0.97
2020-05-29,Electronics,Smart Speaker,10,1553.08,155.31,0,0,0.94
2020-05-29,Groceries,Organic Cereal,297,1564.04,5.27,0,0,1.01
2020-05-29,Clothing,Running Shoes,65,4150.82,63.86,0,0,1.11
2020-05-29,Books,Business Book,103,2378.46,23.09,0,0,0.99
2020-05-29,Furniture,Office Chair,11,1374.02,124.91,0,0,1.01
2020-05-29,Toys,Building Blocks,44,1431.8,32.54,0,0,1.05
2020-05-29,Sports,Yoga Mat,47,2004.76,42.65,0,0,1.13
2020-05-29,Beauty,Face Serum,158,3225.19,20.41,0,0,0.81
2020-05-30,Electronics,Smart Speaker,8,1216.02,152.0,0,0,1.09
2020-05-30,Groceries,Organic Cereal,365,1832.51,5.02,0,0,1.11
2020-05-30,Clothing,Running Shoes,67,3916.03,58.45,0,0,1.14
2020-05-30,Books,Business Book,88,2150.99,24.44,0,0,1.15
2020-05-30,Furniture,Office Chair,5,587.39,117.48,0,0,0.97
2020-05-30,Toys,Building Blocks,52,1816.84,34.94,0,0,1.02
2020-05-30,Sports,Yoga Mat,56,2644.02,47.21,0,0,0.98
2020-05-30,Beauty,Face Serum,202,3813.21,18.88,0,0,1.04
2020-05-31,Electronics,Smart Speaker,8,1105.8,138.23,0,0,1.01
2020-05-31,Groceries,Organic Cereal,313,1608.46,5.14,0,0,0.94
2020-05-31,Clothing,Running Shoes,74,4357.11,58.88,0,0,0.88
2020-05-31,Books,Business Book,78,1983.5,25.43,0,0,0.96
2020-05-31,Furniture,Office Chair,10,1341.44,134.14,0,0,1.09
2020-05-31,Toys,Building Blocks,53,1838.59,34.69,0,0,0.92
2020-05-31,Sports,Yoga Mat,33,1482.54,44.93,0,0,1.18
2020-05-31,Beauty,Face Serum,185,3604.24,19.48,0,0,1.02
2020-06-01,Electronics,Smart Speaker,18,2862.76,159.04,0,0,1.03
2020-06-01,Groceries,Organic Cereal,294,1457.72,4.96,0,0,1.01
2020-06-01,Clothing,Running Shoes,67,4094.1,61.11,0,0,0.96
2020-06-01,Books,Business Book,83,2094.83,25.24,0,0,1.0
2020-06-01,Furniture,Office Chair,11,1362.6,123.87,0,0,1.22
2020-06-01,Toys,Building Blocks,34,1253.88,36.88,0,0,0.9
2020-06-01,Sports,Yoga Mat,42,2002.93,47.69,0,0,0.85
2020-06-01,Beauty,Face Serum,145,3127.0,21.57,0,0,0.99
2020-06-02,Electronics,Smart Speaker,8,1126.21,140.78,0,0,0.98
2020-06-02,Groceries,Organic Cereal,264,1394.04,5.28,0,0,1.13
2020-06-02,Clothing,Running Shoes,63,3758.34,59.66,0,0,1.06
2020-06-02,Books,Business Book,69,1802.44,26.12,0,0,0.98
2020-06-02,Furniture,Office Chair,12,1445.34,120.45,0,0,0.98
2020-06-02,Toys,Building Blocks,56,1979.26,35.34,0,0,1.07
2020-06-02,Sports,Yoga Mat,35,1521.73,43.48,0,0,1.18
2020-06-02,Beauty,Face Serum,140,2817.93,20.13,0,0,0.93
2020-06-03,Electronics,Smart Speaker,4,591.69,147.92,0,0,1.0
2020-06-03,Groceries,Organic Cereal,257,1443.84,5.62,0,0,0.95
2020-06-03,Clothing,Running Shoes,47,2872.47,61.12,0,0,1.05
2020-06-03,Books,Business Book,77,2156.2,28.0,0,0,1.0
2020-06-03,Furniture,Office Chair,4,458.97,114.74,0,0,1.0
2020-06-03,Toys,Building Blocks,52,1983.59,38.15,0,0,1.06
2020-06-03,Sports,Yoga Mat,24,1155.57,48.15,0,0,1.09
2020-06-03,Beauty,Face Serum,153,3166.83,20.7,0,0,1.04
2020-06-04,Electronics,Smart Speaker,8,1206.87,150.86,0,0,1.1
2020-06-04,Groceries,Organic Cereal,287,1412.02,4.92,0,0,1.04
2020-06-04,Clothing,Running Shoes,61,3655.54,59.93,0,0,1.21
2020-06-04,Books,Business Book,71,1778.37,25.05,0,0,1.01
2020-06-04,Furniture,Office Chair,10,1184.56,118.46,0,0,0.83
2020-06-04,Toys,Building Blocks,49,1705.96,34.82,0,0,1.18
2020-06-04,Sports,Yoga Mat,33,1544.44,46.8,0,0,1.02
2020-06-04,Beauty,Face Serum,125,2672.1,21.38,0,0,1.08
2020-06-05,Electronics,Smart Speaker,24,3500.95,145.87,1,0,0.93
2020-06-05,Groceries,Organic Cereal,360,1797.7,4.99,1,0,1.12
2020-06-05,Clothing,Running Shoes,69,4299.74,62.32,1,0,0.72
2020-06-05,Books,Business Book,106,2601.98,24.55,1,0,0.89
2020-06-05,Furniture,Office Chair,7,820.36,117.19,1,0,1.03
2020-06-05,Toys,Building Blocks,58,2037.8,35.13,1,0,0.87
2020-06-05,Sports,Yoga Mat,57,2365.37,41.5,1,0,0.96
2020-06-05,Beauty,Face Serum,197,3871.32,19.65,1,0,0.97
2020-06-06,Electronics,Smart Speaker,15,2290.8,152.72,0,0,1.13
2020-06-06,Groceries,Organic Cereal,297,1460.73,4.92,0,0,0.94
2020-06-06,Clothing,Running Shoes,82,4887.79,59.61,0,0,0.9
2020-06-06,Books,Business Book,117,2838.89,24.26,0,0,1.0
2020-06-06,Furniture,Office Chair,7,845.85,120.84,0,0,1.05
2020-06-06,Toys,Building Blocks,46,1534.45,33.36,0,0,1.06
2020-06-06,Sports,Yoga Mat,35,1659.51,47.41,0,0,0.98
2020-06-06,Beauty,Face Serum,170,3394.75,19.97,0,0,1.2
2020-06-07,Electronics,Smart Speaker,7,1108.04,158.29,0,0,1.12
2020-06-07,Groceries,Organic Cereal,279,1508.93,5.41,0,0,0.89
2020-06-07,Clothing,Running Shoes,77,4605.18,59.81,0,0,1.03
2020-06-07,Books,Business Book,94,2539.61,27.02,0,0,1.05
2020-06-07,Furniture,Office Chair,7,889.96,127.14,0,0,0.88
2020-06-07,Toys,Building Blocks,56,1852.57,33.08,0,0,0.86
2020-06-07,Sports,Yoga Mat,41,1753.54,42.77,0,0,0.78
2020-06-07,Beauty,Face Serum,157,3397.8,21.64,0,0,1.1
2020-06-08,Electronics,Smart Speaker,12,1805.32,150.44,0,0,1.11
2020-06-08,Groceries,Organic Cereal,276,1432.37,5.19,0,0,1.03
2020-06-08,Clothing,Running Shoes,62,3579.76,57.74,0,0,0.97
2020-06-08,Books,Business Book,93,2210.08,23.76,0,0,0.89
2020-06-08,Furniture,Office Chair,6,753.06,125.51,0,0,0.84
2020-06-08,Toys,Building Blocks,36,1376.34,38.23,0,0,1.02
2020-06-08,Sports,Yoga Mat,38,1829.48,48.14,0,0,0.99
2020-06-08,Beauty,Face Serum,150,3070.79,20.47,0,0,1.01
2020-06-09,Electronics,Smart Speaker,14,2026.29,144.74,1,0,0.93
2020-06-09,Groceries,Organic Cereal,417,1955.33,4.69,1,0,0.93
2020-06-09,Clothing,Running Shoes,80,4729.21,59.12,1,0,1.12
2020-06-09,Books,Business Book,107,2563.27,23.96,1,0,1.21
2020-06-09,Furniture,Office Chair,6,742.82,123.8,1,0,1.04
2020-06-09,Toys,Building Blocks,48,1802.6,37.55,1,0,0.83
2020-06-09,Sports,Yoga Mat,59,2464.42,41.77,1,0,0.81
2020-06-09,Beauty,Face Serum,188,3816.9,20.3,1,0,0.95
2020-06-10,Electronics,Smart Speaker,7,1019.46,145.64,0,0,0.9
2020-06-10,Groceries,Organic Cereal,267,1337.28,5.01,0,0,0.92
2020-06-10,Clothing,Running Shoes,70,4249.1,60.7,0,0,0.84
2020-06-10,Books,Business Book,84,1890.66,22.51,0,0,1.04
2020-06-10,Furniture,Office Chair,6,780.21,130.04,0,0,1.04
2020-06-10,Toys,Building Blocks,51,1703.34,33.4,0,0,1.01
2020-06-10,Sports,Yoga Mat,32,1534.61,47.96,0,0,0.88
2020-06-10,Beauty,Face Serum,163,3271.9,20.07,0,0,1.08
2020-06-11,Electronics,Smart Speaker,8,1211.52,151.44,0,0,0.97
2020-06-11,Groceries,Organic Cereal,289,1451.3,5.02,0,0,1.07
2020-06-11,Clothing,Running Shoes,54,3589.23,66.47,0,0,0.89
2020-06-11,Books,Business Book,90,2278.27,25.31,0,0,1.0
2020-06-11,Furniture,Office Chair,9,1056.32,117.37,0,0,1.12
2020-06-11,Toys,Building Blocks,57,2000.04,35.09,0,0,1.02
2020-06-11,Sports,Yoga Mat,41,2072.38,50.55,0,0,0.97
2020-06-11,Beauty,Face Serum,156,2725.99,17.47,0,0,1.01
2020-06-12,Electronics,Smart Speaker,10,1504.25,150.42,0,0,1.05
2020-06-12,Groceries,Organic Cereal,296,1429.04,4.83,0,0,0.99
2020-06-12,Clothing,Running Shoes,49,2886.02,58.9,0,0,0.93
2020-06-12,Books,Business Book,83,2076.63,25.02,0,0,0.93
2020-06-12,Furniture,Office Chair,8,983.98,123.0,0,0,1.23
2020-06-12,Toys,Building Blocks,57,1937.49,33.99,0,0,0.74
2020-06-12,Sports,Yoga Mat,60,2500.35,41.67,0,0,1.02
2020-06-12,Beauty,Face Serum,147,2957.58,20.12,0,0,0.9
2020-06-13,Electronics,Smart Speaker,10,1410.52,141.05,0,0,1.0
2020-06-13,Groceries,Organic Cereal,367,1623.73,4.42,0,0,0.96
2020-06-13,Clothing,Running Shoes,61,3712.13,60.85,0,0,1.02
2020-06-13,Books,Business Book,107,2461.12,23.0,0,0,0.96
2020-06-13,Furniture,Office Chair,11,1314.17,119.47,0,0,1.09
2020-06-13,Toys,Building Blocks,41,1452.0,35.41,0,0,0.95
2020-06-13,Sports,Yoga Mat,42,1814.16,43.19,0,0,1.13
2020-06-13,Beauty,Face Serum,147,3040.0,20.68,0,0,1.12
2020-06-14,Electronics,Smart Speaker,8,1271.14,158.89,0,0,1.07
2020-06-14,Groceries,Organic Cereal,321,1684.93,5.25,0,0,0.92
2020-06-14,Clothing,Running Shoes,70,4132.24,59.03,0,0,0.97
2020-06-14,Books,Business Book,95,2429.14,25.57,0,0,1.22
2020-06-14,Furniture,Office Chair,10,1203.42,120.34,0,0,1.03
2020-06-14,Toys,Building Blocks,47,1692.66,36.01,0,0,1.01
2020-06-14,Sports,Yoga Mat,46,2091.78,45.47,0,0,0.98
2020-06-14,Beauty,Face Serum,153,3106.53,20.3,0,0,1.03
2020-06-15,Electronics,Smart Speaker,8,1229.46,153.68,0,0,1.07
2020-06-15,Groceries,Organic Cereal,273,1420.47,5.2,0,0,1.06
2020-06-15,Clothing,Running Shoes,59,3627.52,61.48,0,0,1.07
2020-06-15,Books,Business Book,90,2036.34,22.63,0,0,1.01
2020-06-15,Furniture,Office Chair,4,487.89,121.97,0,0,1.09
2020-06-15,Toys,Building Blocks,57,1974.15,34.63,0,0,0.91
2020-06-15,Sports,Yoga Mat,39,1901.53,48.76,0,0,1.04
2020-06-15,Beauty,Face Serum,143,3031.12,21.2,0,0,0.94
2020-06-16,Electronics,Smart Speaker,7,973.88,139.13,0,0,0.89
2020-06-16,Groceries,Organic Cereal,325,1558.6,4.8,0,0,0.79
2020-06-16,Clothing,Running Shoes,63,3458.92,54.9,0,0,1.15
2020-06-16,Books,Business Book,62,1640.41,26.46,0,0,0.94
2020-06-16,Furniture,Office Chair,9,1199.57,133.29,0,0,0.97
2020-06-16,Toys,Building Blocks,52,1921.55,36.95,0,0,0.94
2020-06-16,Sports,Yoga Mat,38,1472.86,38.76,0,0,1.08
2020-06-16,Beauty,Face Serum,146,2796.88,19.16,0,0,0.99
2020-06-17,Electronics,Smart Speaker,12,1707.82,142.32,0,0,1.19
2020-06-17,Groceries,Organic Cereal,323,1596.71,4.94,0,0,0.9
2020-06-17,Clothing,Running Shoes,47,3085.73,65.65,0,0,1.15
2020-06-17,Books,Business Book,74,1863.03,25.18,0,0,0.82
2020-06-17,Furniture,Office Chair,7,820.43,117.2,0,0,0.84
2020-06-17,Toys,Building Blocks,49,1712.64,34.95,0,0,1.18
2020-06-17,Sports,Yoga Mat,43,1876.74,43.65,0,0,1.05
2020-06-17,Beauty,Face Serum,174,3613.3,20.77,0,0,1.12
2020-06-18,Electronics,Smart Speaker,8,1141.42,142.68,0,0,0.91
2020-06-18,Groceries,Organic Cereal,320,1575.69,4.92,0,0,1.16
2020-06-18,Clothing,Running Shoes,52,3037.93,58.42,0,0,1.0
2020-06-18,Books,Business Book,102,2325.24,22.8,0,0,0.9
2020-06-18,Furniture,Office Chair,8,971.86,121.48,0,0,1.01
2020-06-18,Toys,Building Blocks,51,1811.2,35.51,0,0,0.86
2020-06-18,Sports,Yoga Mat,49,2124.01,43.35,0,0,0.92
2020-06-18,Beauty,Face Serum,174,3303.25,18.98,0,0,1.01
2020-06-19,Electronics,Smart Speaker,11,1681.31,152.85,0,0,1.18
2020-06-19,Groceries,Organic Cereal,278,1487.11,5.35,0,0,1.01
2020-06-19,Clothing,Running Shoes,56,3254.41,58.11,0,0,1.06
2020-06-19,Books,Business Book,76,2010.38,26.45,0,0,0.92
2020-06-19,Furniture,Office Chair,5,589.19,117.84,0,0,1.05
2020-06-19,Toys,Building Blocks,50,1757.29,35.15,0,0,1.09
2020-06-19,Sports,Yoga Mat,36,1704.11,47.34,0,0,1.05
2020-06-19,Beauty,Face Serum,177,3215.95,18.17,0,0,1.02
2020-06-20,Electronics,Smart Speaker,17,2492.97,146.65,0,0,1.13
2020-06-20,Groceries,Organic Cereal,339,1736.08,5.12,0,0,0.92
2020-06-20,Clothing,Running Shoes,59,3480.74,59.0,0,0,0.96
2020-06-20,Books,Business Book,91,2166.35,23.81,0,0,1.04
2020-06-20,Furniture,Office Chair,9,1081.31,120.15,0,0,1.14
2020-06-20,Toys,Building Blocks,39,1446.04,37.08,0,0,1.26
2020-06-20,Sports,Yoga Mat,50,2288.08,45.76,0,0,0.97
2020-06-20,Beauty,Face Serum,173,3285.87,18.99,0,0,1.11
2020-06-21,Electronics,Smart Speaker,15,2239.74,149.32,0,0,0.78
2020-06-21,Groceries,Organic Cereal,340,1746.39,5.14,0,0,0.92
2020-06-21,Clothing,Running Shoes,64,3731.47,58.3,0,0,0.96
2020-06-21,Books,Business Book,88,2284.0,25.95,0,0,1.13
2020-06-21,Furniture,Office Chair,8,955.05,119.38,0,0,1.12
2020-06-21,Toys,Building Blocks,48,1729.28,36.03,0,0,0.95
2020-06-21,Sports,Yoga Mat,40,1811.37,45.28,0,0,1.19
2020-06-21,Beauty,Face Serum,177,3630.96,20.51,0,0,1.02
2020-06-22,Electronics,Smart Speaker,16,2254.55,140.91,0,0,1.08
2020-06-22,Groceries,Organic Cereal,312,1484.63,4.76,0,0,1.02
2020-06-22,Clothing,Running Shoes,57,3444.08,60.42,0,0,1.11
2020-06-22,Books,Business Book,96,2377.5,24.77,0,0,0.91
2020-06-22,Furniture,Office Chair,10,1173.89,117.39,0,0,1.08
2020-06-22,Toys,Building Blocks,38,1354.42,35.64,0,0,1.18
2020-06-22,Sports,Yoga Mat,36,1618.43,44.96,0,0,0.97
2020-06-22,Beauty,Face Serum,168,3182.98,18.95,0,0,0.89
2020-06-23,Electronics,Smart Speaker,13,1991.76,153.21,1,0,1.09
2020-06-23,Groceries,Organic Cereal,363,1881.64,5.18,1,0,0.94
2020-06-23,Clothing,Running Shoes,62,3784.64,61.04,1,0,1.12
2020-06-23,Books,Business Book,109,2761.13,25.33,1,0,1.06
2020-06-23,Furniture,Office Chair,13,1610.96,123.92,1,0,1.27
